Date,Day,Whiskey
12/01/20,Tuesday,Eagle Rare
12/02/20,Wednesday,EH Taylor
12/03/20,Thursday,Blantons
12/04/20,Friday,Single Oak Project
12/05/20,Saturday,Eagle Rare
12/06/20,Sunday,Blantons
12/07/20,Monday,EH Taylor
12/08/20,Tuesday,Blantons
12/09/20,Wednesday,EH Taylor
12/10/20,Thursday,Weller
12/11/20,Friday,Weller
12/12/20,Saturday,Blantons
12/13/20,Sunday,Single Oak Project
12/14/20,Monday,Eagle Rare
12/15/20,Tuesday,Blantons
12/16/20,Wednesday,Eagle Rare
12/17/20,Thursday,Weller
12/18/20,Friday,EH Taylor
12/19/20,Saturday,Weller
12/20/20,Sunday,Blantons
12/21/20,Monday,Blantons
12/22/20,Tuesday,Eagle Rare
12/23/20,Wednesday,EH Taylor
12/24/20,Thursday,Blantons
12/25/20,Friday,CLOSED
12/26/20,Saturday,Weller
12/27/20,Sunday,Single Oak Project
12/28/20,Monday,EH Taylor
12/29/20,Tuesday,EH Taylor
12/30/20,Wednesday,Eagle Rare
12/31/20,Thursday,Blantons
01/01/21,Friday,CLOSED
01/02/21,Saturday,Weller
01/03/21,Sunday,Single Oak Project
01/04/21,Monday,Weller
01/05/21,Tuesday,Blantons
01/06/21,Wednesday,Eagle Rare
01/07/21,Thursday,EH Taylor
01/08/21,Friday,Weller
01/09/21,Saturday,EH Taylor
01/10/21,Sunday,Blantons
01/11/21,Monday,EH Taylor
01/12/21,Tuesday,Eagle Rare
01/13/21,Wednesday,Weller
01/14/21,Thursday,Blantons
01/15/21,Friday,Weller
01/16/21,Saturday,EH Taylor
01/17/21,Sunday,Blantons
01/18/21,Monday,Weller
01/19/21,Tuesday,Blantons
01/20/21,Wednesday,EH Taylor
01/21/21,Thursday,Weller
01/22/21,Friday,Blantons
01/23/21,Saturday,Weller
01/24/21,Sunday,EH Taylor
01/25/21,Monday,Blantons
01/26/21,Tuesday,Eagle Rare
01/27/21,Wednesday,Weller
01/28/21,Thursday,Blantons
01/29/21,Friday,EH Taylor
01/30/21,Saturday,Weller
01/31/21,Sunday,EH Taylor
02/01/21,Monday,Eagle Rare
02/02/21,Tuesday,Blantons
02/03/21,Wednesday,Weller
02/04/21,Thursday,Blantons
02/05/21,Friday,EH Taylor
02/06/21,Saturday,Eagle Rare
02/07/21,Sunday,Weller
02/08/21,Monday,Weller
02/09/21,Tuesday,Blantons
02/10/21,Wednesday,EH Taylor
02/11/21,Thursday,Eagle Rare
02/12/21,Friday,Weller
02/13/21,Saturday,EH Taylor
02/14/21,Sunday,Blantons
02/15/21,Monday,Weller
02/16/21,Tuesday,Eagle Rare
02/17/21,Wednesday,Eagle Rare
02/18/21,Thursday,EH Taylor
02/19/21,Friday,Blantons
02/20/21,Saturday,Weller
02/21/21,Sunday,Blantons
02/22/21,Monday,Weller
02/23/21,Tuesday,Blantons
02/24/21,Wednesday,EH Taylor
02/25/21,Thursday,Eagle Rare
02/26/21,Friday,Blantons
02/27/21,Saturday,Weller
02/28/21,Sunday,Weller
03/01/21,Monday,Blantons
03/02/21,Tuesday,CLOSED
03/03/21,Wednesday,CLOSED
03/04/21,Thursday,CLOSED
03/05/21,Friday,CLOSED
03/06/21,Saturday,CLOSED
03/07/21,Sunday,CLOSED
03/08/21,Monday,EH Taylor
03/09/21,Tuesday,Eagle Rare
03/10/21,Wednesday,Weller
03/11/21,Thursday,Blantons
03/12/21,Friday,Weller
03/13/21,Saturday,EH Taylor
03/14/21,Sunday,Eagle Rare
03/15/21,Monday,EH Taylor
03/16/21,Tuesday,Weller
03/17/21,Wednesday,Blantons
03/18/21,Thursday,Weller
03/19/21,Friday,EH Taylor
03/20/21,Saturday,Eagle Rare
03/21/21,Sunday,Blantons
03/22/21,Monday,Blantons
03/23/21,Tuesday,Eagle Rare
03/24/21,Wednesday,EH Taylor
03/25/21,Thursday,EH Taylor
03/26/21,Friday,Weller
03/27/21,Saturday,Blantons
