Date,Day,Whiskey
12/01/20,Tuesday,Eagle Rare
12/02/20,Wednesday,E.H. Taylor Jr. Small Batch
12/03/20,Thursday,Blanton’s
12/04/20,Friday,Single Oak Project
12/05/20,Saturday,Eagle Rare
12/06/20,Sunday,Blanton’s
12/07/20,Monday,E.H. Taylor Jr. Small Batch
12/08/20,Tuesday,Blanton’s
12/09/20,Wednesday,E.H. Taylor Jr. Small Batch
12/10/20,Thursday,Weller Special Reserve
12/11/20,Friday,Weller Special Reserve
12/12/20,Saturday,Blanton’s
12/13/20,Sunday,Single Oak Project
12/14/20,Monday,Eagle Rare
12/15/20,Tuesday,Blanton’s
12/16/20,Wednesday,Eagle Rare
12/17/20,Thursday,Weller Special Reserve
12/18/20,Friday,E.H. Taylor Jr. Small Batch
12/19/20,Saturday,Weller Special Reserve
12/20/20,Sunday,Blanton’s
12/21/20,Monday,Blanton’s
12/22/20,Tuesday,Eagle Rare
12/23/20,Wednesday,E.H. Taylor Jr. Small Batch
12/24/20,Thursday,Blanton’s
12/25/20,Friday,Closed
12/26/20,Saturday,Weller Special Reserve
12/27/20,Sunday,Single Oak Project
12/28/20,Monday,E.H. Taylor Jr. Small Batch
12/29/20,Tuesday,E.H. Taylor Jr. Small Batch
12/30/20,Wednesday,Eagle Rare
12/31/20,Thursday,Blanton’s
