Date,Day,Whiskey
12/01/20,Tuesday,Eagle Rare
12/02/20,Wednesday,E.H. Taylor Jr. Small Batch
12/03/20,Thursday,Blanton’s
12/04/20,Friday,Single Oak Project
12/05/20,Saturday,Eagle Rare
12/06/20,Sunday,Blanton’s
12/07/20,Monday,E.H. Taylor Jr. Small Batch
12/08/20,Tuesday,Blanton’s
12/09/20,Wednesday,E.H. Taylor Jr. Small Batch
12/10/20,Thursday,Weller Special Reserve
12/11/20,Friday,Weller Special Reserve
12/12/20,Saturday,Blanton’s
12/13/20,Sunday,Single Oak Project
12/14/20,Monday,Eagle Rare
12/15/20,Tuesday,Blanton’s
12/16/20,Wednesday,Eagle Rare
12/17/20,Thursday,Weller Special Reserve
12/18/20,Friday,E.H. Taylor Jr. Small Batch
12/19/20,Saturday,Weller Special Reserve
12/20/20,Sunday,Blanton’s
12/21/20,Monday,Blanton’s
12/22/20,Tuesday,Eagle Rare
12/23/20,Wednesday,E.H. Taylor Jr. Small Batch
12/24/20,Thursday,Blanton’s
12/25/20,Friday,Closed
12/26/20,Saturday,Weller Special Reserve
12/27/20,Sunday,Single Oak Project
12/28/20,Monday,E.H. Taylor Jr. Small Batch
12/29/20,Tuesday,E.H. Taylor Jr. Small Batch
12/30/20,Wednesday,Eagle Rare
12/31/20,Thursday,Blanton’s
01/01/21,Friday,CLOSED
01/02/21,Saturday,W.L. Weller Special Reserve
01/03/21,Sunday,Single Oak Project
01/04/21,Monday,W.L. Weller Special Reserve
01/05/21,Tuesday,Blanton’s
01/06/21,Wednesday,Eagle Rare
01/07/21,Thursday,"E.H. Taylor, Jr. Small Batch"
01/08/21,Friday,W.L. Weller Special Reserve
01/09/21,Saturday,"E.H. Taylor, Jr. Small Batch"
01/10/21,Sunday,Blanton’s
01/11/21,Monday,"E.H. Taylor, Jr. Small Batch"
01/12/21,Tuesday,Eagle Rare
01/13/21,Wednesday,W.L. Weller Special Reserve
01/14/21,Thursday,Blanton’s
01/15/21,Friday,W.L. Weller Special Reserve
01/16/21,Saturday,"E.H. Taylor, Jr. Small Batch"
01/17/21,Sunday,Blanton’s
01/18/21,Monday,W.L. Weller Special Reserve
01/19/21,Tuesday,Blanton’s
01/20/21,Wednesday,"E.H. Taylor, Jr. Small Batch"
01/21/21,Thursday,W.L. Weller Special Reserve
01/22/21,Friday,Blanton’s
01/23/21,Saturday,W.L. Weller Special Reserve
01/24/21,Sunday,"E.H. Taylor, Jr. Small Batch"
01/25/21,Monday,Blanton’s
01/26/21,Tuesday,Eagle Rare
01/27/21,Wednesday,W.L. Weller Special Reserve
01/28/21,Thursday,Blanton’s
01/29/21,Friday,"E.H. Taylor, Jr. Small Batch"
01/30/21,Saturday,W.L. Weller Special Reserve
01/31/21,Sunday,"E.H. Taylor, Jr. Small Batch"
02/01/21,Monday,Eagle Rare
02/02/21,Tuesday,Blanton’s
02/03/21,Wednesday,W.L. Weller Special Reserve
02/04/21,Thursday,Blanton’s
02/05/21,Friday,"E.H. Taylor, Jr. Small Batch"
02/06/21,Saturday,Eagle Rare
02/07/21,Sunday,W.L. Weller Special Reserve
02/08/21,Monday,W.L. Weller Special Reserve
02/09/21,Tuesday,Blanton’s
02/10/21,Wednesday,"E.H. Taylor, Jr. Small Batch"
02/11/21,Thursday,Eagle Rare
02/12/21,Friday,W.L. Weller Special Reserve
02/13/21,Saturday,"E.H. Taylor, Jr. Small Batch"
02/14/21,Sunday,Blanton’s
02/15/21,Monday,W.L. Weller Special Reserve
02/16/21,Tuesday,Eagle Rare
02/17/21,Wednesday,Eagle Rare
02/18/21,Thursday,"E.H. Taylor, Jr. Small Batch"
02/19/21,Friday,Blanton’s
02/20/21,Saturday,W.L. Weller Special Reserve
02/21/21,Sunday,Blanton’s
02/22/21,Monday,W.L. Weller Special Reserve
02/23/21,Tuesday,Blanton’s
02/24/21,Wednesday,"E.H. Taylor, Jr. Small Batch"
02/25/21,Thursday,Eagle Rare
02/26/21,Friday,Blanton’s
02/27/21,Saturday,W.L. Weller Special Reserve
02/28/21,Sunday,W.L. Weller Special Reserve
03/01/21,Monday,Blanton’s
03/02/21,Tuesday,CLOSED
03/03/21,Wednesday,CLOSED
03/04/21,Thursday,CLOSED
03/05/21,Friday,CLOSED
03/06/21,Saturday,CLOSED
03/07/21,Sunday,CLOSED
03/08/21,Monday,"E.H. Taylor, Jr. Small Batch"
03/09/21,Tuesday,Eagle Rare
03/10/21,Wednesday,W.L. Weller Special Reserve
03/11/21,Thursday,Blanton’s
03/12/21,Friday,W.L. Weller Special Reserve
03/13/21,Saturday,"E.H. Taylor, Jr. Small Batch"
03/14/21,Sunday,Eagle Rare
03/15/21,Monday,"E.H. Taylor, Jr. Small Batch"
03/16/21,Tuesday,W.L. Weller Special Reserve
03/17/21,Wednesday,Blanton’s
03/18/21,Thursday,W.L. Weller Special Reserve
03/19/21,Friday,"E.H. Taylor, Jr. Small Batch"
03/20/21,Saturday,Eagle Rare
03/21/21,Sunday,Blanton’s
03/22/21,Monday,Blanton’s
03/23/21,Tuesday,Eagle Rare
03/24/21,Wednesday,"E.H. Taylor, Jr. Small Batch"
03/25/21,Thursday,"E.H. Taylor, Jr. Small Batch"
03/26/21,Friday,W.L. Weller Special Reserve
03/27/21,Saturday,Blanton’s
03/28/21,Sunday,CLOSED
03/29/21,Monday,W.L. Weller Special Reserve
03/30/21,Tuesday,Eagle Rare
03/31/21,Wednesday,"E.H. Taylor, Jr. Small Batch"
04/01/21,Thursday,Eagle Rare
04/02/21,Friday,Blanton’s
04/03/21,Saturday,"E.H. Taylor, Jr. Small Batch"
04/04/21,Sunday,CLOSED
04/05/21,Monday,Eagle Rare
04/06/21,Tuesday,W.L. Weller Special Reserve
04/07/21,Wednesday,Blanton’s
04/08/21,Thursday,Eagle Rare
04/09/21,Friday,Blanton’s
04/10/21,Saturday,W.L. Weller Special Reserve
04/11/21,Sunday,Eagle Rare
04/12/21,Monday,W.L. Weller Special Reserve
04/13/21,Tuesday,Blanton’s
04/14/21,Wednesday,Eagle Rare
04/15/21,Thursday,Blanton’s
04/16/21,Friday,W.L. Weller Special Reserve
04/17/21,Saturday,"E.H. Taylor, Jr. Small Batch"
04/18/21,Sunday,Eagle Rare
04/19/21,Monday,W.L. Weller Special Reserve
04/20/21,Tuesday,"E.H. Taylor, Jr. Small Batch"
04/21/21,Wednesday,Blanton’s
04/22/21,Thursday,Eagle Rare
04/23/21,Friday,Blanton’s
04/24/21,Saturday,W.L. Weller Special Reserve
04/25/21,Sunday,"E.H. Taylor, Jr. Small Batch"
04/26/21,Monday,W.L. Weller Special Reserve
04/27/21,Tuesday,Eagle Rare
04/28/21,Wednesday,Blanton’s
04/29/21,Thursday,W.L. Weller Special Reserve
04/30/21,Friday,"E.H. Taylor, Jr. Small Batch"
05/01/21,Saturday,W.L. Weller Special Reserve
05/02/21,Sunday,Single Oak Project
05/03/21,Monday,W.L. Weller Special Reserve
05/04/21,Tuesday,Eagle Rare
05/05/21,Wednesday,Blanton’s
05/06/21,Thursday,"E.H. Taylor, Jr. Small Batch"
05/07/21,Friday,W.L. Weller Special Reserve
05/08/21,Saturday,Blanton’s
05/09/21,Sunday,"E.H. Taylor, Jr. Small Batch"
05/10/21,Monday,Eagle Rare
05/11/21,Tuesday,Blanton’s
05/12/21,Wednesday,"E.H. Taylor, Jr. Small Batch"
05/13/21,Thursday,Blanton’s
05/14/21,Friday,W.L. Weller Special Reserve
05/15/21,Saturday,"E.H. Taylor, Jr. Small Batch"
05/16/21,Sunday,W.L. Weller Special Reserve
05/17/21,Monday,Eagle Rare
05/18/21,Tuesday,"E.H. Taylor, Jr. Small Batch"
05/19/21,Wednesday,Blanton’s
05/20/21,Thursday,W.L. Weller Special Reserve
05/21/21,Friday,Eagle Rare
05/22/21,Saturday,Blanton’s
05/23/21,Sunday,"E.H. Taylor, Jr. Small Batch"
05/24/21,Monday,W.L. Weller Special Reserve
05/25/21,Tuesday,"E.H. Taylor, Jr. Small Batch"
05/26/21,Wednesday,Blanton’s
05/27/21,Thursday,W.L. Weller Special Reserve
05/28/21,Friday,Eagle Rare
05/29/21,Saturday,Blanton’s
05/30/21,Sunday,W.L. Weller Special Reserve
05/31/21,Monday,"E.H. Taylor, Jr. Small Batch"
06/01/21,Tuesday,Blanton’s
06/02/21,Wednesday,Eagle Rare
06/03/21,Thursday,Eagle Rare
06/04/21,Friday,W.L. Weller Special Reserve
06/05/21,Saturday,"E.H. Taylor, Jr. Small Batch"
06/06/21,Sunday,Blanton’s
06/07/21,Monday,"E.H. Taylor, Jr. Small Batch"
06/08/21,Tuesday,Blanton’s
06/09/21,Wednesday,W.L. Weller Special Reserve
06/10/21,Thursday,"E.H. Taylor, Jr. Small Batch"
06/11/21,Friday,Eagle Rare
06/12/21,Saturday,Blanton’s
06/13/21,Sunday,Single Oak Project
06/14/21,Monday,Eagle Rare
06/15/21,Tuesday,Blanton’s
06/16/21,Wednesday,Blanton’s
06/17/21,Thursday,Eagle Rare
06/18/21,Friday,"E.H. Taylor, Jr. Small Batch"
06/19/21,Saturday,W.L. Weller Special Reserve
06/20/21,Sunday,W.L. Weller Special Reserve
06/21/21,Monday,W.L. Weller Special Reserve
06/22/21,Tuesday,Blanton’s
06/23/21,Wednesday,"E.H. Taylor, Jr. Small Batch"
06/24/21,Thursday,Blanton’s
06/25/21,Friday,Eagle Rare
06/26/21,Saturday,W.L. Weller Special Reserve
06/27/21,Sunday,"E.H. Taylor, Jr. Small Batch"
06/28/21,Monday,Eagle Rare
06/29/21,Tuesday,"E.H. Taylor, Jr. Small Batch"
06/30/21,Wednesday,W.L. Weller Special Reserve
07/01/21,Thursday,Blanton’s
07/02/21,Friday,Blanton’s
07/03/21,Saturday,W.L. Weller Special Reserve
07/04/21,Sunday,Eagle Rare
07/05/21,Monday,"E.H. Taylor, Jr. Small Batch"
07/06/21,Tuesday,Blanton’s
07/07/21,Wednesday,W.L. Weller Special Reserve
07/08/21,Thursday,W.L. Weller Special Reserve
07/09/21,Friday,Eagle Rare
07/10/21,Saturday,"E.H. Taylor, Jr. Small Batch"
07/11/21,Sunday,Blanton’s
07/12/21,Monday,Eagle Rare
07/13/21,Tuesday,Blanton’s
07/14/21,Wednesday,Eagle Rare
07/15/21,Thursday,Blanton’s
07/16/21,Friday,W.L. Weller Special Reserve
07/17/21,Saturday,"E.H. Taylor, Jr. Small Batch"
07/18/21,Sunday,Eagle Rare
07/19/21,Monday,Blanton’s
07/20/21,Tuesday,"E.H. Taylor, Jr. Small Batch"
07/21/21,Wednesday,Blanton’s
07/22/21,Thursday,"E.H. Taylor, Jr. Small Batch"
07/23/21,Friday,Eagle Rare
07/24/21,Saturday,W.L. Weller Special Reserve
07/25/21,Sunday,Eagle Rare
07/26/21,Monday,Eagle Rare
07/27/21,Tuesday,Blanton’s
07/28/21,Wednesday,Eagle Rare
07/29/21,Thursday,Blanton’s
07/30/21,Friday,"E.H. Taylor, Jr. Small Batch"
07/31/21,Saturday,W.L. Weller Special Reserve
08/01/21,Sunday,Eagle Rare
08/02/21,Monday,"E.H. Taylor, Jr. Small Batch"
08/03/21,Tuesday,Eagle Rare
08/04/21,Wednesday,Eagle Rare
08/05/21,Thursday,Blanton’s
08/06/21,Friday,"E.H. Taylor, Jr. Small Batch"
08/07/21,Saturday,W.L. Weller Special Reserve
08/08/21,Sunday,Blanton’s
08/09/21,Monday,Blanton’s
08/10/21,Tuesday,"E.H. Taylor, Jr. Small Batch"
08/11/21,Wednesday,W.L. Weller Special Reserve
08/12/21,Thursday,"E.H. Taylor, Jr. Small Batch"
08/13/21,Friday,Blanton’s
08/14/21,Saturday,Eagle Rare
08/15/21,Sunday,W.L. Weller Special Reserve
08/16/21,Monday,Eagle Rare
08/17/21,Tuesday,W.L. Weller Special Reserve
08/18/21,Wednesday,Blanton’s
08/19/21,Thursday,W.L. Weller Special Reserve
08/20/21,Friday,Eagle Rare
08/21/21,Saturday,"E.H. Taylor, Jr. Small Batch"
08/22/21,Sunday,Blanton’s
08/23/21,Monday,W.L. Weller Special Reserve
08/24/21,Tuesday,"E.H. Taylor, Jr. Small Batch"
08/25/21,Wednesday,Eagle Rare
08/26/21,Thursday,W.L. Weller Special Reserve
08/27/21,Friday,Eagle Rare
08/28/21,Saturday,Blanton’s
08/29/21,Sunday,"E.H. Taylor, Jr. Small Batch"
08/30/21,Monday,Eagle Rare
08/31/21,Tuesday,Blanton’s
09/01/21,Wednesday,"E.H. Taylor, Jr. Small Batch"
09/02/21,Thursday,W.L. Weller Special Reserve
09/03/21,Friday,Blanton’s
09/04/21,Saturday,Eagle Rare
09/05/21,Sunday,"E.H. Taylor, Jr. Small Batch"
09/06/21,Monday,W.L. Weller Special Reserve
09/07/21,Tuesday,"E.H. Taylor, Jr. Small Batch"
09/08/21,Wednesday,Blanton’s
09/09/21,Thursday,Eagle Rare
09/10/21,Friday,"E.H. Taylor, Jr. Small Batch"
09/11/21,Saturday,W.L. Weller Special Reserve
09/12/21,Sunday,Blanton’s
09/13/21,Monday,Eagle Rare
09/14/21,Tuesday,"E.H. Taylor, Jr. Small Batch"
09/15/21,Wednesday,Blanton’s
09/16/21,Thursday,W.L. Weller Special Reserve
09/17/21,Friday,Eagle Rare
09/18/21,Saturday,"E.H. Taylor, Jr. Small Batch"
09/19/21,Sunday,Eagle Rare
09/20/21,Monday,Blanton’s
09/21/21,Tuesday,W.L. Weller Special Reserve
09/22/21,Wednesday,Eagle Rare
09/23/21,Thursday,"E.H. Taylor, Jr. Small Batch"
09/24/21,Friday,Blanton’s
09/25/21,Saturday,Eagle Rare
09/26/21,Sunday,W.L. Weller Special Reserve
09/27/21,Monday,"E.H. Taylor, Jr. Small Batch"
09/28/21,Tuesday,Eagle Rare
09/29/21,Wednesday,Blanton’s
09/30/21,Thursday,"E.H. Taylor, Jr. Small Batch"
10/01/21,Friday,Eagle Rare
10/02/21,Saturday,"E.H. Taylor, Jr. Small Batch"
10/03/21,Sunday,Blanton’s
10/04/21,Monday,W.L. Weller Special Reserve
10/05/21,Tuesday,"E.H. Taylor, Jr. Small Batch"
10/06/21,Wednesday,Blanton’s
10/07/21,Thursday,Eagle Rare
10/08/21,Friday,Sazerac Rye
10/09/21,Saturday,W.L. Weller Special Reserve
10/10/21,Sunday,Blanton’s
10/11/21,Monday,W.L. Weller Special Reserve
10/12/21,Tuesday,"E.H. Taylor, Jr. Small Batch"
10/13/21,Wednesday,Sazerac Rye
10/14/21,Thursday,Eagle Rare
10/15/21,Friday,"E.H. Taylor, Jr. Small Batch"
10/16/21,Saturday,Blanton’s
10/17/21,Sunday,Eagle Rare
10/18/21,Monday,Sazerac Rye
10/19/21,Tuesday,"E.H. Taylor, Jr. Small Batch"
10/20/21,Wednesday,W.L. Weller Special Reserve
10/21/21,Thursday,Eagle Rare
10/22/21,Friday,Blanton’s
10/23/21,Saturday,"E.H. Taylor, Jr. Small Batch"
10/24/21,Sunday,W.L. Weller Special Reserve
10/25/21,Monday,Eagle Rare
10/26/21,Tuesday,Sazerac Rye
10/27/21,Wednesday,Eagle Rare
10/28/21,Thursday,"E.H. Taylor, Jr. Small Batch"
10/29/21,Friday,W.L. Weller Special Reserve
10/30/21,Saturday,Blanton’s
10/31/21,Sunday,Eagle Rare
11/01/21,Monday,Blanton’s
11/02/21,Tuesday,Sazerac Rye
11/03/21,Wednesday,W.L. Weller Special Reserve
11/04/21,Thursday,"E.H. Taylor, Jr. Small Batch"
11/05/21,Friday,Blanton’s
11/06/21,Saturday,Eagle Rare
11/07/21,Sunday,Sazerac Rye
11/08/21,Monday,W.L. Weller Special Reserve
11/09/21,Tuesday,Blanton’s
11/10/21,Wednesday,"E.H. Taylor, Jr. Small Batch"
11/11/21,Thursday,Blanton’s
11/12/21,Friday,Eagle Rare
11/13/21,Saturday,Sazerac Rye
11/14/21,Sunday,W.L. Weller Special Reserve
11/15/21,Monday,"E.H. Taylor, Jr. Small Batch"
11/16/21,Tuesday,W.L. Weller Special Reserve
11/17/21,Wednesday,Blanton’s
11/18/21,Thursday,Eagle Rare
11/19/21,Friday,Blanton’s
